"";"";"";"";"18h45";""
"284";"travail";"0.148907471601927";"0.637126273089709";"0.846233400901833";"492"
"285";"minute";"0.486147026548017";"0.912231672851818";"0.846169356383231";"494"
"286";"existence";"0.542465796260118";"0.934352986066931";"0.846169356383231";"495"
"287";"jouer";"0.541599137816239";"0.323443958675104";"0.84600755970466";"496"
"288";"volant";"0.28570255599042";"0.514751443928929";"0.844719927804361";"497"
"289";"entraîner";"0.226503659942642";"0.221273988319976";"0.844719927804361";"498"
"290";"chanson";"-0.174810287277511";"0.232014691480916";"0.844719927804361";"499"
"291";"veille";"0.429336076568368";"-0.33135052646478";"0.844517681956146";"500"
"292";"démarrer";"-0.306661376977269";"0.462667399562749";"0.844514311192009";"501"
"293";"recette";"-0.64378611075643";"0.523872488680991";"0.844436783616861";"502"
"294";"revenir";"-1.30136509738707";"0.14259826772275";"0.844436783616861";"503"
"295";"montagne";"-0.0369322282752928";"0.517302237956942";"0.843988471986652";"505"
"296";"animal";"-1.1407693408567";"0.303821547293218";"0.843206454706889";"508"
"297";"souvenir";"-0.631756669571581";"-0.0955605823398615";"0.842828929123555";"509"
"298";"bas";"0.587117734294749";"-0.268330137704869";"0.842636795567752";"511"
"299";"drôle";"-1.26603346101626";"0.204666220212398";"0.842636795567752";"512"
"300";"village";"-1.36008046704082";"-0.277783215764923";"0.842636795567752";"513"
"301";"comédien";"-1.52423856596194";"-0.0586013986475122";"0.842636795567752";"514"
"302";"main";"-1.40707237248252";"0.242709945096315";"0.842636795567752";"515"
"303";"cochon";"0.709612142885698";"0.492565759352396";"0.842292977625787";"516"
"304";"apprécier";"0.750159174042055";"0.621245724476038";"0.842292977625787";"517"
"305";"courageux";"0.901017999879498";"0.696911449042965";"0.842292977625787";"518"
"306";"bête";"0.780010605025824";"0.520217400871286";"0.842292977625787";"519"
"307";"actif";"0.760719878510252";"0.443488478071085";"0.842292977625787";"520"
"308";"génération";"-0.927999182451777";"0.434262071781822";"0.842195225465817";"521"
"309";"témoigner";"0.476645128331179";"0.565302320722091";"0.842100844069983";"522"
"310";"plateau";"0.12901667530521";"0.627734095284921";"0.842100844069983";"523"
"311";"kilomètre";"0.493304139587667";"0.0856808542647247";"0.841480623468792";"525"
"312";"passager";"-1.00530691018955";"0.359050261281068";"0.841157030111649";"526"
"313";"passionner";"0.652282093272576";"0.345946155830723";"0.841157030111649";"527"
"314";"philosophie";"0.135486513247333";"0.417381136550268";"0.841157030111649";"528"
"315";"sensible";"0.150839017936585";"0.277640705026128";"0.841157030111649";"529"
"316";"soigner";"-0.772131738240581";"-0.06940106667806";"0.841157030111649";"530"
"317";"façon";"0.01689155837792";"0.454647889969801";"0.841157030111649";"531"
"318";"étudiant";"0.504801229105806";"0.596211546497079";"0.841157030111649";"532"
"319";"récréation";"0.636828347681983";"0.65211465464953";"0.841157030111649";"533"
"320";"oser";"0.0273576027498138";"0.600109128573706";"0.841157030111649";"534"
"321";"rencontre";"0.0173066691046105";"-0.331578013542067";"0.840600854029059";"535"
"322";"vraiment";"0.261357496370776";"0.468334025116478";"0.839828949041707";"536"
"323";"cas";"0.560249246534568";"0.614841109731541";"0.839828949041707";"537"
"324";"réponse";"0.715780292272258";"0.521078461783133";"0.839525580269385";"538"
"325";"tsr";"-0.258596733234906";"0.126525915533773";"0.838875022790962";"539"
"326";"exister";"-0.438109915846826";"-0.00765768916588029";"0.838760416810307";"540"
"327";"florilège";"0.349697231667156";"0.722978810616035";"0.837975028766408";"541"
"328";"claude";"-1.47213623543084";"0.0242213371388759";"0.837503121787241";"542"
"329";"seul";"-0.167941477339956";"0.549597211165052";"0.836832339723996";"545"
"330";"témoignage";"0.169277466226973";"0.708042335725925";"0.836778407497805";"546"
