"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"santé";0,001;1;1;1;1;0,001;0,122;1;1;1;1;1;1;1;0,567;1;1;1;1;0,567;1;0,288
"rendre";0,026;1;0,066;1;1;1;1;1;1;1;0,128;0,073;1;1;1;1;1;0,153;1;1;1;1
"quotidien";1;1;1;1;1;1;1;1;0,002;0,01;1;1;1;1;1;1;1;1;1;0;1;0,403
"projection";1;1;0,009;1;1;1;1;1;1;1;0,026;0,011;1;1;1;1;1;1;1;1;1;1
"moment";1;1;1;0,041;1;1;1;1;0,162;1;1;1;1;1;0,002;1;1;1;1;0,216;1;1
"mois";0,115;1;1;1;0,017;1;1;1;1;1;1;1;1;0,143;0,484;1;1;1;0,306;0,484;0,441;1
"minute";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,002;0,189;1
"manquer";1;1;0,437;1;0,682;0;1;1;0,682;1;1;1;1;1;1;0,233;0,544;0,663;0,565;1;1;1
"long";1;1;1;1;1;0,703;1;1;0,069;0,01;0,542;1;1;0,278;0,72;0,195;1;0,598;1;1;1;0,403
"froid";1;1;1;1;1;1;1;1;1;0,186;0;1;1;1;1;1;1;1;1;1;1;0,231
"fille";1;1;1;1;0,473;1;1;1;1;0,237;1;1;1;1;0,567;1;1;0,457;1;0;1;0,288
"corps";1;1;1;0,395;1;0;1;1;1;1;1;1;1;1;0,186;1;1;0,114;1;1;1;0,513
"comédien";1;1;1;1;0,239;1;1;1;1;1;1;0,121;1;1;0,307;1;1;0,228;1;1;1;0
"coeur";1;1;1;0,203;0,473;0;1;1;1;1;0,407;0,006;1;1;1;1;1;1;1;1;1;1
"chat";1;0,149;1;1;1;0,384;0,061;1;1;0,137;1;1;1;1;1;1;1;0,305;1;0,397;0,358;1
"changer";1;0,149;1;1;1;0,015;1;1;1;1;1;0,174;1;1;0,397;1;0,226;1;1;1;1;0,174
"carrière";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,018;1;1;0,111;1;1;0
"adepte";1;1;1;1;1;0,001;1;0,154;1;1;0,018;1;1;1;0,053;0,122;1;1;1;1;1;1
"époque";1;0,008;1;1;1;1;1;1;1;1;1;1;1;1;0,058;1;1;1;1;1;1;0,011
"vraiment";1;1;1;0,113;0,318;1;1;1;1;0;1;1;1;0,102;1;1;1;0,305;1;1;0,358;1
"terre";1;1;1;0;1;1;1;1;0,473;1;1;1;1;1;1;1;0,357;0,457;1;1;1;1
"rêve";1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0,114;1;1;1;1
"regard";1;1;1;1;0,239;0,295;1;1;0,239;1;1;1;1;1;0;1;1;1;1;1;1;1
"ouvrir";0;1;1;1;1;1;1;1;1;1;0;1;1;1;0,397;1;1;0,305;1;1;1;1
"lac";1;1;1;1;0,318;1;1;1;0,008;1;1;1;1;1;0,397;1;0,003;0,305;1;1;1;1
"féminin";1;0;1;1;1;1;1;1;0,003;1;1;1;1;0,066;1;1;1;0,228;1;1;1;1
"feu";0;1;1;1;1;1;1;1;1;1;1;1;0,367;0,143;1;1;0,006;1;1;1;1;1
"fan";1;1;1;1;1;0,384;1;0,08;1;1;0,004;1;0,292;1;1;1;1;0,305;1;0,397;1;1
"expliquer";0;1;1;1;1;1;1;1;1;0,186;1;1;1;0,143;1;1;1;0,382;1;0,484;1;0,003
"choisir";1;1;1;1;1;1;1;1;0,546;0,006;0,476;0,346;0,511;1;1;1;1;0,043;0,44;1;1;0,346
"chanson";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,13;1;1;0,086;1;1;0;1
"canton";1;1;0,009;1;0,546;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0,346
"vieux";1;1;1;1;0,397;1;1;0,115;1;1;0,01;0,231;0,367;1;1;1;1;0,382;1;1;1;0,231
"témoigner";1;1;1;1;1;0,029;1;0,115;0,397;1;1;1;1;1;0;1;1;0,382;1;1;1;1
"train";0;1;0,327;1;1;1;1;1;0,546;1;0,476;0,346;1;0,232;1;1;1;1;1;0,079;1;1
"style";1;0,362;1;1;0,616;0,703;1;1;0,616;1;1;1;1;1;0,72;0,002;0,484;0,001;1;1;1;1
"spécial";1;0,201;1;0,157;1;1;1;1;1;1;1;1;1;1;1;0,09;0,291;0,382;1;1;0,441;0,003
"seul";1;1;1;0,001;1;1;1;1;0,397;0,001;1;1;1;1;0,484;1;1;1;1;0,484;1;0,231
"servir";1;1;0,271;1;1;1;0;1;1;1;1;1;1;1;1;1;0,357;1;0,374;1;0;1
"semaine";1;0,201;1;1;0,397;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,484;1;1
