"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14"
"emji_visage_avec_bouche_ouverte";49,143;-1,438;-0,848;0,012;-0,981;-0,099;0,053;-0,144;-0,167;0,14;-1,705;-2,214;-0,914;0,027
"article";-16,423;-22,341;-3,966;4,229;-1,414;-12,816;-6,438;0,863;282,789;-8,407;-7,56;26,6;0,333;-3,896
"rts";-11,302;-19,178;-2,209;-0,03;-1,434;-25,047;-18,195;77,633;185,409;-19,288;-17,758;10,079;4,619;2,844
"salaire";-19,337;-25,915;-3,748;-13,666;-4,339;-11,042;-39,266;-15,212;-25,925;1730,702;17,569;-6,126;-26,343;-45,733
"idée";-15,064;-2,374;-1,008;-8,529;-0,571;-0,051;-3,334;2,399;94,831;-1,425;1,514;5,479;6,465;-24,87
"exister";-14,516;-24,02;0,004;-3,457;0,526;-0,573;1,963;-0,299;-1,061;-0,243;-5,643;12,023;54,885;4,302
"aider";-17,938;-27,087;-2,108;2,046;-0,036;-7,668;-15,755;-0,22;-2,197;4,934;51,81;-12,698;155,932;-5,414
"sûr";-18,275;-3,07;-0,92;-0,14;-1,394;-0,001;-4,693;-0,002;55,925;-0,012;-0,54;3,143;10,93;-5,879
"loi";-19,786;-30,705;-3,836;174,433;5,088;0,101;-9,314;0,11;-0,013;-1,567;-1,709;13,343;13,738;-3,738
"armée";-19,618;-30,409;-3,803;-6,143;-2,596;68,105;-22,551;-4,672;-3,082;3,23;-6,499;-3,138;-0,633;171,032
"public";-19,73;-34,896;-3,825;52,477;-2,62;-8,285;-0,613;-0,443;-10,783;39,088;36,592;15,352;-0,01;-4,328
"moyen";-20,011;-27,087;0,384;-0,093;-0,036;-1,823;0,113;-3,89;-15,229;79,47;16,807;-2,533;5,523;0,587
"commencer";-17,77;-17,99;0,408;1,496;-1,304;29,86;-11,641;3,341;1,389;0,002;-0,598;0,834;-0,099;5,29
"tuer";-18,943;-21,536;-3,672;-4,494;-4,251;2,853;-2,554;-6,597;-8,529;-23,455;-12,301;-11,743;-5,161;654,771
"regarder";-19,505;-10,459;1,444;0,305;-2,573;-1,923;0,111;0,019;163,549;-6,222;3,638;-0,568;-0,046;-12,224
"cher";-17,322;-6,982;-3,759;-10,239;-0,016;-32,233;70,848;-5,666;-22,308;790,726;-12,998;-8,906;-10,919;-31,535
"partie";-15,59;-24,506;-0,145;0,604;0,113;-0,027;-1,202;0,764;-3,082;-0,691;49,29;-0,077;15,656;-0,057
"soutenir";-17,154;-27,682;-3,727;0,381;-1,196;-1,708;-15,708;6,248;-3,403;-2,189;-0,609;-0,038;1,357;196,367
"faux";-18,943;-12,201;-0,726;0,03;-2,454;-8,213;-8,047;19,182;105,582;-6,508;-8,677;32,366;2,668;-0,028
"premier";-15,59;-20,925;1,41;-0,952;0,113;-12,726;4,877;0,764;121,6;0,233;-0,116;-0,001;-5,958;-0,005
"lieu";-19,449;-28,075;-2,007;0,667;-1,235;-2,404;0,277;-0,373;0,865;13,994;-1,061;0,257;56,455;-1,01
"histoire";-11,652;-11,306;-0,12;-7,136;-0,362;-6,621;-25,174;-0,097;16,33;-7,879;-17,027;74,023;82,877;11,468
"genève";-14,427;-7,857;-1,826;-0,238;-0,279;-32,415;353,968;-10,725;-14,238;20,598;32,633;-6,711;-16,21;-24,019
"sortir";-17,602;-11,959;0,433;-0,237;-0,413;0,794;-3,268;-1,995;104,943;-0,223;0,315;0,496;0,08;-3,011
"trump";-16,763;-9,52;-0,712;-8,227;-4,226;-6,113;-13,651;26,947;-0,161;-0,174;0,212;-5,743;-0,143;167,856
"génocide";-18,775;-28,925;-3,639;-1,142;-4,213;-31,012;-40,286;-11,014;-19,525;-25,048;-24,746;-5,7;-10,003;1603,243
"défendre";-18,718;-21,155;-3,628;7,762;-2,407;-0,955;-17,655;0,326;-1,77;-11,958;2,648;0,87;3,614;125,085
"israélien";-18,606;-26,601;-3,607;-14,93;-4,175;-37,092;-39,924;-12,649;-28,639;-28,739;-26,344;-8,247;-35,255;2148,668
"perdre";-16,371;-20,68;12,252;-5,267;-1,061;-0,024;-10,508;-0,861;-2,096;3,344;66,898;-2,447;58,646;-4,792
"prix";-18,269;-15,461;-0,638;-12,708;-4,099;-24,227;13,292;-2,826;-26,022;727,443;-1,144;-11,143;-17,471;-0,189
"finir";-12,715;-11,62;-1,846;1,667;-4,162;0,032;17,969;-5,06;0,42;0,003;15,663;-1,151;0,074;-0,494
"écrire";-15,588;-7,925;-1,687;0,043;423,162;-0,704;-17,133;1,193;105,102;-16,119;-26,56;14,622;2,978;-6,07
"emji_mains_en_prière";1447,097;-16,346;-2,672;-12,583;-3,093;-0,962;-15,922;0,011;-4,125;-9,98;-14,096;-7,198;-7,39;-5,424
"attendre";-8,872;-10,717;0,754;-0,014;0,001;0,327;-5,691;-2,631;0,724;-1,754;-1,355;99,49;9,924;-0,237
"emji_visage_faisant_un_clin_d_oeil";-16,81;-3,245;-1,54;-2,206;-0,134;-1,326;0,879;-3,856;437,371;-4,073;-3,327;-0,98;-9,485;-17,255
"servir";-15,812;-23,384;-3,465;6,322;-2,23;0,047;-2,696;-1,172;-8,23;2,081;9,549;2,772;72,774;-3,397
"mort";-16,81;-16,263;-3,259;-3,082;-2,008;-0,143;-0,318;-0,76;-3,25;-10,456;-17,697;-4,26;-7,211;480,48
"gouvernement";-15,365;-18,976;-3,378;-1,141;-3,911;-15,968;-8,887;0,119;-2,457;-0,344;-1,98;-3,629;2,023;317,482
"otage";-9,275;-21,347;-3,237;-6,495;-3,747;-33,288;-33,611;-12,869;-27,371;-23,367;-28,932;-15,45;-19,693;1791,184
"montrer";-17,427;-24,542;-0,532;1,114;-0,894;-0,152;-8,887;-2,345;1,046;-19,072;-5,675;70,298;145,9;-0,017
"emji_visage_en_pleine_réflexion";-8,587;0,584;0;-0,541;-2,379;-0,223;0,423;0,48;-1,041;16,453;-3,808;-0,009;0,05;0,437
"emji_drapeau_suisse";405,4;-5,989;-0,143;0,127;0;-1,877;-0,407;0,017;-9,746;-1,789;0,052;-3,143;-6,099;-8,296
"jeune";-12,826;-17,94;-1,54;-2,206;-2,008;366,235;-3,525;-2,01;-4,022;0;-2,642;-0,205;0,445;-15,813
"nouveau";-11,522;-13,948;-0,518;-1,723;0,01;0,167;0,559;2,096;1,127;31,768;3,084;-1,838;-0,082;-2,76
"gros";-17,315;-12,494;18,353;-2,493;-0,876;1,371;4,96;1,389;-0,289;8,074;55,224;-2,626;-1,13;-21,466
"côté";-17,259;-11,038;-0,512;0,692;-2,101;1,911;11,301;-0,48;-3,694;-2,357;0;-4,581;59,512;-0,351
"simplement";-13,212;-26,161;-0,023;-1,048;-0,166;0,004;-0,105;-8,064;-10,962;0,781;30,565;72,075;16,325;-4,625
"service";-12,33;-26,669;-3,161;-0,707;-3,659;277,544;-10,55;-10,636;-15,443;96,774;1,299;-2,901;-9,96;-13,404
"meilleur";0,306;-9,19;580,849;-8,091;0,458;1,793;2,185;-0,373;-5,882;0,037;0,02;-1,002;2,664;-23,783
"revenir";-16,81;-23,465;-0,458;-9,65;-2,008;-8,355;-4,264;-2,858;-6,833;102,733;232,644;-0,98;-0,266;-13,117
"oublier";-13,101;-16,724;-1,589;-0,538;-3,835;-0,729;7,25;-0,15;-0,76;-4,375;24,923;-2,494;4,555;11,148
"europe";-14,137;-22,39;696,221;-2,699;-0,091;-5,456;-0,124;0,417;-2,037;-2,075;0,959;-1,985;-1,744;29,196
"espérer";-9,747;-10,955;-1,609;7,378;2,79;-3,401;-0,775;0,159;90,686;-1,741;-3,731;-0,645;9,397;-5,41
"réalité";-16,698;-25,274;-1,52;-4,025;-1,984;-0,117;-9,996;-1,261;-2,461;-5,736;-0,635;493,06;25,607;-2,668
"assurance";-15,913;-23,896;-3,085;-10,601;-1,823;-31,723;-15,331;-12,172;-23,904;2201,696;-5,69;-12,682;-27,968;-39,501
"agir";-16,53;-29,235;-1,491;28,935;-0,751;-7,941;-3,214;-0,07;-14,226;-5,534;-3,048;44,221;114,712;4,001
"créer";-16,193;-24,388;-1,433;-0,071;-1,88;0,176;0,633;-2,491;-1,49;0,388;132,167;-0,002;-1,744;-0,312
"ville";-6,174;-16,468;-2,889;8,444;-0,51;-6,659;297,341;-3,649;-11,651;-2,217;0,175;0;-3,086;-9,433
"emji_visage_boudeur";0,003;38,678;-1,612;14,063;-1,866;-0,058;-3,359;-0,165;-1,565;-0,013;-6,405;-4,054;-0,805;0,535
"manquer";-12,001;-13,324;-1,394;-0,592;-1,834;108,365;-0,722;-0,019;-1,858;0,492;0,203;4,909;0,322;-12,726
"pauvre";-12,967;-3,752;-1,231;-0,715;-1,639;-3,995;-0,838;2,347;-3,756;-3,013;302,114;-2,121;-0,29;-13,453
"animal";-2,384;-17,302;-2,781;-7,518;-1,504;466,795;14,335;-2,289;-1,715;-13,923;-18,587;-0,025;-7,046;-17,987
