"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14"
"*i_0332";-7,259;-3,222;-2,813;-1,051;-0,456;-9,571;-8,747;230,415;0,148;0,137;8,48;3,317;-0,626;-9,87
"*postComments_310";-7,259;-3,222;-2,813;-1,051;-0,456;-9,571;-8,747;230,415;0,148;0,137;8,48;3,317;-0,626;-9,87
"-*cyril_nobs";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*amiromesk";-0,387;-0,684;-0,075;-0,353;-0,087;-0,771;2,387;1,436;-0,684;-0,686;-0,721;21,847;0,189;-0,96
"*commentLikes_259";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;4,149;-0,206;-0,102;-0,209;2,715
"-*dyson_v15";-0,11;4,167;-0,021;-0,101;-0,025;3,595;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;-0,209;-0,274
"-*insta_hernanisilwa";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;3,278;-0,099;-0,195;-0,196;3,909;-0,102;-0,209;-0,274
"-*diggged";-0,166;12,347;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"-*lrimaz_";-0,497;-0,88;-0,096;-0,454;-0,112;1,525;-1,067;0,826;6,624;0,053;-0,927;-0,46;1,705;-1,234
"-*cmq_john";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;19,565;-0,105;-0,137
"-*theyloveevaaaaa";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;25,719;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"-*deco2001";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"-*jeunes_udc_vaud";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;81,11;-0,391;-0,392;-0,412;-0,204;-0,419;-0,549
"-*authentic_by_lisa";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;20,276;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*cloebernier";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;9,715;-0,051;-0,105;-0,137
"-*marx_et_lilith";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;9,163;4,165;-0,196;-0,206;-0,102;-0,209;-0,274
"-*hugo_benoit1";18,103;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*nicolas_rosse";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;4,165;-0,196;-0,206;8,808;-0,209;-0,274
"-*gaetan_brace";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;9,715;-0,051;-0,105;-0,137
"-*jack_folly";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;8,436;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"*i_0333";4,775;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"*i_0334";-1,252;-0,223;-0,869;-0,214;-1,006;0;11,577;-2,176;0,488;0,09;0,871;1,136;0,779;-11,13
"*postLikes_12100";-1,252;-0,223;-0,869;-0,214;-1,006;0;11,577;-2,176;0,488;0,09;0,871;1,136;0,779;-11,13
"-*thierryfeuz";-0,387;-0,684;-0,075;-0,353;-0,087;-0,771;59,064;-0,345;-0,684;-0,686;-0,721;-0,358;-0,733;-0,96
"-*kim_crv";0,627;-0,88;-0,096;-0,454;-0,112;-0,991;0,003;-0,444;-0,88;-0,883;13,115;0,76;1,705;-1,234
"-*loic_555";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;10,232;-0,098;-0,103;-0,051;-0,105;-0,137
"-*mata_hari_hm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*commentDate_16-11-2025";37,707;5,836;633,591;-11,568;-0,338;4,904;-8,13;-8,03;-1,976;1,122;-1,186;-1,342;-2,382;-34,404
"-*lfe_y";-0,055;-0,098;-0,011;19,833;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*guillaume_savary";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*ecrmnt";-0,276;5,965;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;0,759;-0,49;0,672;-0,256;-0,523;-0,686
"-*julhlf";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*kmphotos_ch";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;-0,411
"-*ivaanatienza";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;2,042;-0,153;-0,314;-0,411
"-*r6_damian";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*ricciozjd";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*emanuel_dejesuus";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*kevin_a_photorando";-0,221;8,334;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;1,278;1,271;-0,412;-0,204;-0,419;-0,549
"-*tissotdo";-0,055;10,235;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*gab__19__";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;8,436;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*lhomme_de_la_situation";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"*i_0335";-0,091;-2,662;-0,504;-2,373;-0,583;1,302;-0,882;-0,695;0,175;-1,264;-4,844;-0,761;0,074;41,259
"*postComments_63";-0,091;-2,662;-0,504;-2,373;-0,583;1,302;-0,882;-0,695;0,175;-1,264;-4,844;-0,761;0,074;41,259
"-*silva_soka";4,775;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"-*david_prvl";18,103;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*eliemalasi";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*viform";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*dahlia_fds";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;8,436;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*florian_siess";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;20,276;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*lorik_mg";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;-0,209;14,585
"-*kaynli_regaine";-0,11;-0,195;-0,021;-0,101;-0,025;3,595;-0,237;-0,099;-0,195;-0,196;-0,206;8,808;-0,209;-0,274
"*i_0336";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;4,149;-0,206;-0,102;3,829;-0,274
"-*nicole_blacha";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"-*berthod91";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"*i_0337";0,011;-1,801;0,324;-0,142;-0,67;1,45;-6,41;0,885;0,008;-3,33;-2,025;-1,06;-5,66;59,767
"-*sdkkk17";-0,166;2,209;-0,032;5,345;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"-*selinay_dem";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*srh__wrs";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*cihankobulan";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;9,163;-0,195;-0,196;-0,206;-0,102;-0,209;2,715
"*i_0338";1,073;3,462;16,252;0,009;-0,236;15,418;-2,253;-0,938;-0,311;-0,314;-1,957;-0,972;-0,393;-2,607
"-*alher_65";-0,11;-0,195;-0,021;-0,101;-0,025;18,162;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;-0,209;-0,274
"-*mela_m_f";18,103;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*danielprinzing";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*antoniotonyklein";-0,11;-0,195;-0,021;-0,101;-0,025;3,595;-0,237;9,163;-0,195;-0,196;-0,206;-0,102;-0,209;-0,274
"-*markus_manz";-0,055;10,235;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*retosteinemann";-0,055;10,235;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*rintintin65";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"-*hugo_10_ch";-0,11;4,167;45,7;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;-0,209;-0,274
"-*_antho_qlf_";-0,055;-0,098;93,387;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*swiss_sport_shirts";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*espace_fitness_monala";-0,055;-0,098;-0,011;19,833;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"*i_0339";-4,516;-3,187;-1,591;-3,867;-1,841;-12,206;-9,772;0,165;-0,396;-10,488;-13,157;-0,006;-0,324;332,917
"*postComments_267";-7,959;-5,944;-0,471;-8,139;1,422;-5,483;-15,748;1,019;0;-14,937;-17,893;0,742;0,186;296,147
"*postReposts_139";-4,516;-3,187;-1,591;-3,867;-1,841;-12,206;-9,772;0,165;-0,396;-10,488;-13,157;-0,006;-0,324;332,917
"*commentLikes_655";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;9,163;-0,195;-0,196;-0,206;-0,102;-0,209;2,715
"-*dr_jeremy_daneshmand4789";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*max_teix";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"-*rimabderrahman";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"*commentLikes_371";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;10,232;-0,098;-0,103;-0,051;-0,105;-0,137
"-*sii_ryn";-0,11;-0,195;-0,021;8,942;-0,025;-0,22;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;-0,209;2,715
"-*neida_ana";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;10,232;-0,098;-0,103;-0,051;-0,105;-0,137
"-*olirbr";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"-*quelimarques";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;20,276;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*lazarounette";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;10,232;-0,098;-0,103;-0,051;-0,105;-0,137
"-*chris_sikias";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*fhn82";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*thepoloaddict";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*sabine_dormond";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;9,715;-0,051;-0,105;-0,137
"-*samlamalice";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*arthurnoverraz";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;-0,209;14,585
"-*ericsteppenwolf";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;-0,196;3,909;-0,102;-0,209;2,715
"-*mahmoud_alallosh";-0,387;0,25;-0,075;-0,353;-0,087;0,149;-0,83;-0,345;3,339;-0,686;-0,721;-0,358;-0,733;6,262
"-*chantal_e_diaz";18,103;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*neweliemehdi";-0,055;10,235;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*fabiennepicaud";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*ychem_ben";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"*i_0340";12,183;0,76;-0,054;-0,252;-0,062;-0,551;-0,593;2,613;0,759;-0,49;-0,515;-0,256;-0,523;-0,686
"-*katialurati";18,103;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"*i_0341";0,465;7,676;-0,257;-1,211;-0,298;-0,89;0,092;-0,015;4,214;-0,67;-2,472;3,028;-0,789;-1,411
"*postLikes_12800";0,465;7,676;-0,257;-1,211;-0,298;-0,89;0,092;-0,015;4,214;-0,67;-2,472;3,028;-0,789;-1,411
"*postReposts_149";0,465;7,676;-0,257;-1,211;-0,298;-0,89;0,092;-0,015;4,214;-0,67;-2,472;3,028;-0,789;-1,411
"-*loic_bohler";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;10,232;-0,098;-0,103;-0,051;-0,105;-0,137
"-*sabrinameghari";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"-*titefantomette";18,103;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*marika_russ_1";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;8,436;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*marie_jaggi";18,103;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*lydie_gicquel";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;19,565;-0,105;-0,137
"-*nadia_guzmandettori";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;8,436;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*cecile_aebi";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*ju_myz";-0,055;10,235;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*justin_widm";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*barbara_franchitti";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"-*sarahananor";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"-*floh777";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;10,232;-0,098;-0,103;-0,051;-0,105;-0,137
"-*eddie_fraisse";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;10,232;-0,098;-0,103;-0,051;-0,105;-0,137
"-*rami_mirs";-0,11;4,167;-0,021;-0,101;-0,025;-0,22;-0,237;9,163;-0,195;-0,196;-0,206;-0,102;-0,209;-0,274
"-*kabukimonosan";-0,11;20,471;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;-0,209;-0,274
"-*alienorbej";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;7,293
"-*alpaley";-0,055;10,235;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"*i_0342";-7,048;-11,025;-2,445;-6,045;-2,83;-13,529;-18,81;-2,157;-8,144;861,374;-0,002;-4,744;-0,325;-29,061
"*postComments_260";-7,048;-11,025;-2,445;-6,045;-2,83;-13,529;-18,81;-2,157;-8,144;861,374;-0,002;-4,744;-0,325;-29,061
"*postReposts_70";-7,048;-11,025;-2,445;-6,045;-2,83;-13,529;-18,81;-2,157;-8,144;861,374;-0,002;-4,744;-0,325;-29,061
"-*nicoleduc_26";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"*commentLikes_645";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"*commentLikes_479";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"*commentLikes_265";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*violettelaunay";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;20,402;-0,206;-0,102;-0,209;-0,274
"-*bernardcharleslucien";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;2,198;-0,309;-0,153;1,991;-0,411
"-*meli_mhln";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;4,149;3,909;-0,102;-0,209;-0,274
"-*maggio71";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*any_bram";-0,11;4,167;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;4,149;-0,206;-0,102;-0,209;-0,274
"-*kinkywarrior";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;10,232;-0,098;-0,103;-0,051;-0,105;-0,137
"-*siminutes";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;9,715;-0,051;-0,105;-0,137
"-*nath___84";-0,332;-0,586;-0,064;-0,303;-0,074;-0,661;-0,711;1,918;0,446;24,603;-0,618;-0,307;-0,628;-0,823
"-*philipshelby72";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*gg_la87";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*santhe8";-0,055;10,235;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"*commentLikes_310";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*athenea_eff1291";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*isabellesauser";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"-*roxanequinodoz";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"-*pa_sca_lina";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*x_torx_x";4,775;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"-*olivierbettex";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*carosourd";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"-*jaabirisorayamaya";-0,055;10,235;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*mehdikrichen";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*sirop_th";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;12,301;-0,309;-0,153;-0,314;-0,411
"-*pat_christ";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*julianerossetti";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*fuzzdrop";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*lipow";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*laetiii96";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*3z_gy";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*cesarmirogarcia";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;20,402;-0,206;-0,102;-0,209;-0,274
"-*sunga_nga";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;9,554;-0,137
"-*christinestruchen";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;9,715;-0,051;-0,105;-0,137
"-*sorayadecaillet";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*cara_mellia";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"-*lauret_83";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;20,276;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*sognosposi";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;2,042;-0,153;-0,314;-0,411
"-*boulbouli";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"-*luscher_rachel";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;12,301;-0,309;-0,153;-0,314;-0,411
"-*manonmerci_i";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*angele_reymond_9";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*tite_annick";8,079;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;3,829;-0,274
"-*andres_gz0912";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;-0,391;8,299;1,16;-0,204;1,124;-0,549
"-*zilverdove";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;-0,098;-0,103;19,565;-0,105;-0,137
"-*micael_z_fernandez";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;2,198;2,042;-0,153;-0,314;-0,411
"-*bba9322";-0,11;-0,195;-0,021;-0,101;-0,025;-0,22;-0,237;-0,099;-0,195;-0,196;-0,206;-0,102;19,108;-0,274
"-*joeyariosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"-*astrid4258";-0,055;-0,098;-0,011;-0,05;-0,012;9,081;-0,119;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*niclettekal";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;-0,119;-0,049;-0,098;10,201;-0,103;-0,051;-0,105;-0,137
"*i_0343";-0,608;0;-0,118;-0,555;-0,136;15,547;3,229;0,474;-1,075;-1,079;-1,133;-0,562;-0,002;-1,509
"*postDate_5-11-2025";-12,868;-5,696;-1,991;-30,232;-5,649;-25,833;491,713;7,055;-8,072;-13,363;-0,024;24,173;-0,407;-29,96
"*i_0344";-0,829;-0,092;-0,161;-0,757;-0,186;-0,178;62,335;0,13;-1,467;-1,471;-1,545;0,106;-1,571;-2,058
"-*michaelvs13";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;8,436;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"-*gwiazdzinski";-0,055;-0,098;-0,011;-0,05;-0,012;-0,11;8,436;-0,049;-0,098;-0,098;-0,103;-0,051;-0,105;-0,137
"*i_0345";-0,068;-0,122;-0,659;-8,486;-0,946;-2,321;-11,435;69,23;-0,353;-9,304;0,027;14,95;1,642;2,268
"*postLikes_8000";-0,068;-0,122;-0,659;-8,486;-0,946;-2,321;-11,435;69,23;-0,353;-9,304;0,027;14,95;1,642;2,268
"*postComments_328";-0,068;-0,122;-0,659;-8,486;-0,946;-2,321;-11,435;69,23;-0,353;-9,304;0,027;14,95;1,642;2,268
