"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
"jeudi";0,944;1;0,578;1;1;1;0,047;0,001;1;1;0,802;1;0,838;1;0,576;0,165;0,969
"ville";1;1;1;0,608;0,317;1;0,026;1;0,758;1;0,581;0,014;1;1;0,362;0,326;0,624
"travail";1;0,078;1;1;0;1;0,298;0,33;1;1;1;1;1;1;0,086;0,603;1
"politique";0,085;1;0,339;1;1;1;1;0;0,649;1;1;1;1;1;1;1;0
"partir";0,576;1;1;0,059;1;1;0,012;0,015;1;1;1;1;1;0,58;1;0,542;0,004
"initiative";1;1;1;0;0;1;1;0,227;1;1;1;1;1;1;0,576;0,909;0,969
"fois";1;0,138;1;1;1;1;0,005;1;1;0,266;0,023;0,257;1;1;0,406;0,141;1
"lausanne";1;1;1;1;0,125;1;0;0,032;0,758;1;1;1;0,619;1;1;0,006;1
"prochain";1;1;1;0,088;1;1;0,095;0,003;1;1;0,012;1;1;0,661;1;0,001;0,046
"prix";1;1;1;0,006;0,204;1;1;1;1;1;1;0;1;1;0,603;0,872;1
"international";1;1;0;1;1;1;1;1;1;1;0,442;0,41;1;0,048;1;1;0,158
"indiquer";1;1;0,023;1;1;1;0,151;1;1;1;1;1;0,706;0,112;0,038;0,002;1
"santé";0,508;0,001;1;1;1;0,915;1;1;0;0,338;1;1;1;1;1;1;1
"étude";1;0;1;1;1;0,435;1;1;0;0;1;1;1;1;0,475;1;1
"semaine";0,576;1;0,314;1;0,477;1;0,068;0,015;1;1;1;0,86;1;1;1;0,065;0,158
"mesure";0,589;1;1;0;0,01;0,525;1;0,02;1;1;1;1;1;1;1;0,55;1
"trump";0,165;1;0,001;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"sécurité";1;1;0,004;1;1;1;0,406;0,443;1;1;1;1;0;1;1;0,141;0,674
"lundi";0,91;1;0,222;0,331;1;1;0,006;0,209;1;1;1;0,733;0,365;1;1;0,876;0,941
"dimanche";1;1;0,009;1;1;1;0,154;0,174;1;1;0,081;1;0,314;0,421;1;0,807;0,353
"désormais";1;0,847;0,314;0,449;1;0,009;0,662;1;1;1;1;1;1;1;1;0,542;1
"temps";1;0,847;1;1;1;1;0,259;0,702;0,231;1;0;1;1;1;1;0,014;0,499
"jean";0,855;1;1;1;0;1;0,164;0,953;1;1;1;1;1;1;0;1;1
"situation";1;0,706;0;1;0,17;0,391;1;0,046;1;1;1;1;0,006;1;1;1;1
"population";1;0,051;0,645;0,051;1;0,051;1;0,266;1;1;1;1;0,447;1;0,24;0,201;1
"noël";1;1;1;1;1;1;0,203;1;1;1;0,866;0;1;0,023;0,033;0,412;1
"connaître";0,805;1;1;1;1;0,021;1;1;0,429;0,856;0,67;1;1;0;1;1;1
"vie";1;0,02;0,745;1;0,952;0,013;1;1;0,676;0,006;1;0,462;0,996;0,24;1;1;1
"partie";1;0,359;0,075;0,134;1;1;1;1;1;0,425;1;1;1;0,5;1;0,043;0,425
"ligne";1;1;0,152;1;1;1;0;1;1;1;1;0,489;1;1;1;0,633;1
"octobre";1;1;0;1;1;0,51;1;0,585;1;1;0;1;1;0,473;1;1;0,401
"expliquer";1;0,608;1;0,608;1;0,02;1;0,397;0,758;0,233;0,245;1;0,619;1;0,362;0,695;1
"enquête";0,001;0,037;1;1;0,77;1;1;0,614;1;1;1;1;0;1;1;1;0,969
"droit";0,017;1;0,314;1;1;1;1;0,002;1;1;0,897;1;1;0,58;0,012;1;0,499
"couper";0,868;1;1;1;0,316;1;0,085;0;1;1;0,147;1;1;1;1;0,849;0,563
"atteindre";1;0,079;1;1;1;1;1;1;0,121;0,001;0,013;0,635;1;1;0,139;0,339;1
"rendre";0,023;1;0,745;0,511;1;1;1;1;0,676;1;0,191;1;1;0,001;1;1;0,186
"français";0;1;1;1;1;1;1;0,191;1;1;0;1;1;0,131;1;1;1
"mort";0,001;1;0;1;1;0,538;1;1;1;1;1;0,765;0,001;0,159;1;1;0,969
"marquer";0,473;1;1;1;1;1;0,712;0,005;0,679;0,575;0,369;0,344;1;1;1;0,447;0,019
"déclarer";0,001;0,859;0,084;1;1;1;1;1;1;1;0,004;1;1;1;1;1;1
"violence";0,049;0,028;0,266;1;1;1;1;1;1;1;1;0,439;0;1;1;1;1
"mois";0,006;1;0,633;0,34;0,802;1;1;0,817;0,748;1;1;0,948;1;0,226;1;1;1
"réseau";0,005;0,277;1;0,277;1;0,456;1;1;0,456;1;0,703;0,668;0,738;1;1;1;1
"nombre";1;0;0,828;1;1;1;1;1;1;0,284;1;1;1;1;0,018;0,002;1
"lancer";1;1;0,866;1;0,076;1;0,435;1;1;1;0,062;1;0,67;0,369;1;0,092;1
"gouvernement";0,51;1;1;1;0,328;1;1;0;1;1;1;1;1;1;0,748;1;0,163
"continuer";1;0,078;0,137;0,078;1;1;1;0,33;1;1;0,497;0,045;1;0,24;0,298;1;1
"christian";1;0,111;1;1;0,317;1;1;1;1;1;1;1;1;1;0;0,326;0,624
"gaza";1;1;0;1;1;1;1;0,127;1;1;1;1;1;1;1;1;1
"victime";0;0,063;0,514;1;1;1;1;1;1;1;1;1;0,091;1;1;0,954;1
"ouvrir";0,043;1;1;0,701;1;1;1;1;0,51;0,941;1;0,091;0,365;1;1;1;0,401
"france";0;1;1;1;1;1;1;0,556;1;1;1;0,015;1;0,131;0,169;1;1
"décision";0,001;1;1;0,953;0,575;1;0,746;0;1;1;1;1;1;1;0,746;0,023;1
"vendredi";1;1;0,01;0,774;1;0,748;0;0,817;1;1;1;1;1;0,712;1;0,005;0,64
"suite";0,037;1;0,512;1;1;1;0,519;0,191;1;1;1;1;0,003;0,131;1;1;0,913
"risque";1;0,226;1;1;1;0,018;1;1;0;0,307;1;1;1;1;0,979;1;1
"cas";1;0,277;1;1;1;0;1;1;1;1;0,703;1;1;1;0;0,367;0,885
"attendre";0,209;1;0,673;1;1;0,782;1;0,852;1;1;0,141;0,983;0,157;0,746;0,817;0,556;0,672
"association";0;1;1;1;1;0,483;1;0,556;0,483;1;1;1;1;1;0,519;0,031;0,913
"suivre";1;0,774;0,633;1;1;1;1;0,066;0,25;0,64;1;1;1;0,226;0,783;1;0,64
"européen";1;0,817;1;1;0,397;0,006;1;0,327;0,782;0,201;1;1;1;0,746;1;1;1
"soutenir";0,263;1;0,033;0,205;0,02;1;1;0,002;1;1;1;1;1;1;1;1;1
"rapport";1;0;0,713;1;1;1;1;1;0,815;1;1;1;1;1;0,01;0,213;1
"ministre";1;1;0;1;1;1;1;0;1;1;1;1;0,105;1;1;0,842;0
"mardi";0,576;1;0,679;1;0,204;1;0,068;0,015;1;1;1;1;0,475;1;1;0,22;0,004
