te;0;0;0;0;2;0;0;0;0;0;4;0;0;0;1;0;0
mon;0;0;1;0;0;0;0;0;0;0;4;0;0;1;0;0;0
htag_19h30rts;1;0;1;1;3;0;0;0;0;0;0;1;0;0;0;0;0
au_dessus;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
45;0;0;1;2;0;0;0;0;0;0;2;1;0;1;0;0;0
38;1;4;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
2028;0;0;0;2;1;0;0;0;1;0;0;0;0;0;1;2;1
2016;1;0;0;0;0;1;0;2;0;0;1;0;0;1;0;0;0
votre;0;2;0;0;0;1;0;0;3;0;0;1;0;0;1;0;0
toi;0;0;0;0;2;0;0;0;0;1;4;1;0;1;0;0;0
outre;0;2;0;1;1;0;2;0;0;0;0;1;0;0;1;1;0
longtemps;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0
65;1;2;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0
37;0;1;1;0;1;1;0;0;2;0;0;0;1;0;1;1;0
rien;2;0;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0
dehors;0;0;0;1;0;0;1;1;0;0;1;1;0;0;2;0;1
chacun;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0
anti;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
72;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
66;0;1;0;0;0;1;0;1;1;0;1;0;0;2;0;0;0
600;0;0;1;2;0;2;0;0;0;0;0;0;0;1;0;0;0
41;2;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
250;0;0;1;0;2;0;0;1;0;0;2;0;0;0;0;0;1
2030;0;0;0;1;1;2;1;0;0;0;0;0;0;1;0;1;0
laquelle;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0
f;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1
divers;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0
différents;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1
b;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;1;0
86;0;3;0;0;1;0;0;0;0;0;2;0;1;1;1;0;0
800;0;0;2;1;0;0;0;0;2;0;1;0;0;0;0;1;1
42;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0
35;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;3;0
quoi;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1
plupart;0;1;2;0;1;0;0;0;0;0;0;0;0;1;1;2;0
oui;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;1
auparavant;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0
attention;0;0;1;0;0;0;0;0;3;1;0;1;0;0;0;1;0
85;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1
75;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0
44;0;0;0;1;1;1;0;0;1;0;0;1;1;0;1;0;0
telles;1;2;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0
mi;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0
dommage;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0
demi;0;0;3;0;0;0;1;0;0;1;1;0;0;1;0;0;0
celle_ci;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0
assez;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
92;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;2;0
58;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
57;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1
53;0;0;0;0;0;1;0;1;0;0;3;1;0;0;0;0;0
46;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
36;0;0;0;1;0;0;0;1;1;1;2;0;1;0;0;1;0
3000;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0
2500;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
2029;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0
2015;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
van;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
treize;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0
telle;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;2
tel;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0
soi;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
sauf;1;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0
quinze;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0
partout;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;0
parce_que;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0
lendemain;0;0;2;0;0;0;2;0;1;0;0;0;0;0;1;0;0
htag_geneve;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0
douze;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0
celui_ci;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
95;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0
78;0;0;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0
64;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1
56;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
2001;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
1990;0;1;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0
120;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
voici;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0
tandis_qu;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0
lui_même;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
chacune;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;0;0
96;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
94;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
82;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0
76;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
55;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
5000;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0
49;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
47;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
33;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
2031;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0
2013;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0
1994;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0
1400;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0
140;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
tes;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
quasi;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
lequel;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
htag_tennis;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
enfin;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
croire;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
99;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
81;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
73;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0
51;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
43;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4000;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0
2012;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2010;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
2006;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0
1984;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
